x_resol,y_resol,w_values,h_values,target
320,240,74,74,91
320,240,75,75,91
320,240,78,78,91
320,240,80,80,91
320,240,79,79,89
320,240,83,83,87
320,240,86,86,84
320,240,86,86,83
320,240,89,89,80
320,240,89,89,78
320,240,88,88,77
320,240,90,90,75
320,240,91,91,74
320,240,93,93,73
320,240,92,92,72
320,240,96,96,71
320,240,96,96,70
320,240,99,99,70
320,240,99,99,69
320,240,101,101,68
320,240,102,102,67
320,240,104,104,66
320,240,106,106,65
320,240,108,108,64
320,240,109,109,63
320,240,110,110,62
320,240,110,110,61
320,240,112,112,59
320,240,113,113,58
320,240,115,115,57
320,240,116,116,56
320,240,121,121,55
320,240,126,126,54
320,240,124,124,53
320,240,128,128,52
320,240,132,132,51
320,240,131,131,50
320,240,140,140,49
320,240,141,141,49
320,240,141,141,47
320,240,142,142,46
320,240,148,148,45
320,240,141,141,44
320,240,147,147,45
320,240,150,150,44
320,240,156,156,43
320,240,155,155,42
320,240,158,158,41
320,240,165,165,40
320,240,164,164,40
320,240,168,168,39
320,240,169,169,40
320,240,174,174,40
320,240,178,178,38
320,240,182,182,35
320,240,188,188,34
320,240,190,190,34
320,240,194,194,34
320,240,207,207,33
320,240,203,203,32
320,240,211,211,32
320,240,211,211,36
320,240,210,210,30
320,240,215,215,30
320,240,223,223,27
320,240,220,220,27
320,240,217,217,30
320,240,217,217,29
320,240,225,225,47
320,240,220,220,26
320,240,214,214,25
320,240,207,207,24
320,240,199,199,23
320,240,198,198,25
320,240,182,182,27
320,240,174,174,28
320,240,163,163,30
320,240,163,163,31
320,240,150,150,33
320,240,150,150,35
320,240,147,147,37
320,240,143,143,40
320,240,140,140,42
320,240,50,50,115
320,240,51,51,122
320,240,51,51,126
320,240,52,52,127
320,240,50,50,127
320,240,52,52,127
320,240,51,51,127
320,240,50,50,126
320,240,51,51,127
320,240,51,51,126
320,240,49,49,131
320,240,49,49,129
320,240,48,48,128
320,240,48,48,129
320,240,48,48,128
320,240,34,34,130
320,240,47,47,131
320,240,47,47,133
320,240,40,40,134
320,240,47,47,134
320,240,46,46,136
320,240,47,47,137
320,240,46,46,137
320,240,45,45,140
320,240,45,45,142
320,240,43,43,148
320,240,42,42,144
320,240,42,42,146
320,240,42,42,251
320,240,42,42,152
320,240,41,41,156
320,240,42,42,155
320,240,42,42,161
320,240,42,42,160
320,240,41,41,161
320,240,41,41,164
320,240,41,41,166
320,240,40,40,167
320,240,39,39,171
320,240,38,38,174
320,240,38,38,176
320,240,38,38,177
320,240,37,37,180
320,240,38,38,182
320,240,37,37,183
320,240,38,38,185
320,240,36,36,187
320,240,35,35,188
320,240,37,37,188
320,240,37,37,188
320,240,34,34,190
320,240,35,35,194
320,240,33,33,249
320,240,32,32,196
320,240,33,33,200
320,240,33,33,201
320,240,32,32,250
320,240,32,32,200
320,240,30,30,202
320,240,32,32,200
320,240,30,30,201
320,240,34,34,249
320,240,34,34,201
320,240,34,34,201
320,240,33,33,199
320,240,36,36,200
320,240,35,35,194
320,240,37,37,192
320,240,37,37,191
320,240,39,39,185
320,240,39,39,182
320,240,42,42,179
320,240,41,41,177
320,240,40,40,174
320,240,42,42,171
320,240,42,42,170
320,240,42,42,168
320,240,44,44,167
320,240,43,43,163
320,240,43,43,160
320,240,44,44,158
320,240,46,46,155
320,240,46,46,152
320,240,46,46,150
320,240,47,47,146
320,240,47,47,143
320,240,49,49,139
320,240,51,51,135
320,240,51,51,132
320,240,52,52,128
320,240,54,54,126
320,240,53,53,124
320,240,56,56,123
320,240,54,54,121
320,240,57,57,119
320,240,56,56,116
320,240,58,58,113
320,240,59,59,111
320,240,62,62,109
320,240,63,63,106
320,240,66,66,101
320,240,65,65,94
320,240,65,65,95
320,240,62,62,97
320,240,64,64,97
320,240,61,61,99
320,240,62,62,97
320,240,56,56,98
320,240,61,61,100
320,240,64,64,98
320,240,63,63,99
320,240,64,64,98
320,240,61,61,98
320,240,66,66,96
320,240,66,66,95
320,240,68,68,95
320,240,70,70,94
320,240,71,71,91
320,240,72,72,89
320,240,70,70,88
320,240,73,73,88
320,240,75,75,87
320,240,73,73,86
320,240,77,77,85
320,240,74,74,83
320,240,72,72,81
320,240,73,73,79
320,240,77,77,77
320,240,80,80,75
320,240,85,85,74
320,240,87,87,74
320,240,89,89,73
320,240,91,91,72
320,240,91,91,71
320,240,94,94,69
320,240,96,96,67
320,240,99,99,65
320,240,99,99,63
320,240,101,101,62
320,240,102,102,60
320,240,103,103,58
320,240,110,110,57
320,240,113,113,56
320,240,113,113,55
320,240,115,115,54
320,240,116,116,53
320,240,125,125,52
320,240,127,127,51
320,240,130,130,48
320,240,130,130,47
320,240,137,137,46
320,240,136,136,46
320,240,138,138,46
320,240,139,139,44
320,240,141,141,47
320,240,139,139,43
320,240,141,141,43
320,240,145,145,44
320,240,153,153,41
320,240,148,148,40
320,240,151,151,45
320,240,163,163,36
320,240,163,163,39
320,240,173,173,33
320,240,177,177,32
320,240,190,190,33
320,240,194,194,32
320,240,199,199,29
320,240,208,208,48
320,240,212,212,36
320,240,212,212,53
320,240,217,217,29
320,240,213,213,27
320,240,213,213,28
320,240,211,211,30
320,240,214,214,28
320,240,214,214,28
320,240,216,216,29
